Hitters,5/31,6/15,6/27,wOBA,90th Perc. EV,K%,BB%,Chase %,Whiff %
Team,0.422,0.346,0.363,80.3,97.8,16.5,12,21.7,22
Damon Gaither,0,0.241,0.241,83.5,93.1,23.5,0,34.4,45.2
Antonio Gianni,0,0.454,0.423,87,100.4,16.2,8.1,28.4,31.3
Fred Buckson,0.252,0.226,0.226,75.5,89.6,21.1,5.3,38.2,18.2
Hunter Friedberg,0,0.214,0.292,72.2,87.9,15.4,15.4,19.4,34.8
Luca Boscarino,0,0.219,0.252,79.6,95.4,33.3,0,28.9,25
Aidan Dougherty,0,0.355,0.390,84.8,99.1,14.3,2.9,21.3,21.8
Jonathan Fitz,0,0.095,0.263,89.7,97.1,28.6,7.1,21.1,21.1
Cannon Peery,0,0.496,0.529,82,97.2,5.3,15.8,22,19.4
Elijah Pelayo,0.478,0.229,0.244,72.5,87.4,15,12.5,26.6,13.1
Max Hartman,1.184,0.567,0.500,76.3,98.5,9.8,19.5,19.1,16.9
Masayuki Kawashima,0,0.303,0.303,79.2,92.6,18.2,36.4,9.4,18.2
Joe Scheffler,0.955,0.419,0.419,75.3,89,13.3,13.3,14.3,12.5
Kade Benavidez,0.318,0.443,0.466,84.8,95.7,2.6,17.9,12.2,5.7